,0,1,2,3,4,5,6,7,8,9,10
pdgfb,-0.0,3.540388246021273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
acvrl1,-0.0,3.978451273456931,3.9718199849978015,1.5449248699359575,-0.0,-0.0,-0.0,1.5439774349213333,-0.0,-0.0,3.966986429906805
grasp,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
acvr1b,-0.0,-0.0,-0.0,1.5449248699359575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.025780803719426
tom1l2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9366235450744604
gpa33,-0.0,-0.0,1.6151222610144151,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6197945947177768,1.6128539301323306
zfp385a,6.270654520166209,-0.0,-0.0,-0.0,-0.0,-0.0,2.5843383974197143,-0.0,-0.0,-0.0,2.5674387353863337
itga5,1.4077312714941144,94.86515121231075,-0.0,-0.0,-0.0,1.416854114224035,3.697011551321219,-0.0,-0.0,1.4094565081049426,1.4028034855460836
gabra2,-0.0,-0.0,-0.0,1.0561455394273984,-0.0,-0.0,-0.0,-0.0,5.246656933985898,-0.0,-0.0
wdr77,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
adora3,8.279075830043649,-0.0,-0.0,-0.0,-0.0,1.8963299863079945,-0.0,-0.0,-0.0,-0.0,-0.0
atp5f1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sox9,-0.0,2.247454154869124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hnrnpd,-0.0,-0.0,-0.0,1.098133786940135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dynlt1c,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
c1d,-0.0,-0.0,0.7570646806667075,-0.0,-0.0,-0.0,-0.0,-0.0,0.7575178738541437,-0.0,-0.0
gm2a,-0.0,-0.0,-0.0,-0.0,-0.0,1.7986365980707604,-0.0,-0.0,1.7865144370998864,1.7907042404292794,1.7835669818671571
krit1,-0.0,-0.0,-0.0,3.724237842983608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.715351798078831
clcn4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
grm6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sema4f,-0.0,1.9941931747516317,-0.0,1.996476928838789,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hk2,-0.0,-0.0,0.6607734836980899,0.664537624866179,-0.0,-0.0,0.6699731238304683,-0.0,-0.0,-0.0,0.6591561420965257
myo18a,0.759243135992788,-0.0,0.7570646806667075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.104952730361751
sez6,-0.0,-0.0,-0.0,5.88600027981186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.868702915945357
haao,2.182453019925083,2.1828816866155374,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1732643116114025
cd52,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.7787852076583284,-0.0,-0.0,2.7713367623595784
abhd15,-0.0,9.098282827042427,-0.0,2.1159305356692775,-0.0,-0.0,2.1240715081778108,-0.0,2.1109199598107886,-0.0,5.234006439087029
hoxb6,-0.0,3.325316673319774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
loxl3,-0.0,4.287911558255373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.28148530045781
btn1a1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
kat2b,1.18743715044457,-0.0,1.1848366386890887,1.1896105140271531,-0.0,-0.0,-0.0,-0.0,3.173802495025211,-0.0,5.733434974261018
rab5b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cryba1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.3963623192464927,-0.0,-0.0
dnmt3l,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.319059612567264
aire,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
icosl,-0.0,-0.0,-0.0,1.292734686970453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.401529224277432
spg7,-0.0,-0.0,-0.0,3.0244444639420753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sult5a1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rpl13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
chmp1a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rpa1,4.017753881750542,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.111757615021935
serpinf1,-0.0,-0.0,-0.0,1.6203952035472489,-0.0,-0.0,-0.0,1.619434404189096,-0.0,-0.0,4.135107513069482
tubgcp3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3488556568207783,-0.0
polr3d,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tcf7,-0.0,1.1876542283588363,3.1725994454507638,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.1680344345288223
ddx3x,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.671354088764258,-0.0,-0.0
il12rb1,2.2471936481136834,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.24160677041324
slc5a5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
kcnn3,-0.0,-0.0,-0.0,0.6220328286990933,-0.0,-0.0,-0.0,-0.0,-0.0,0.6216167082555384,0.6168142394729226
usp32,-0.0,-0.0,-0.0,-0.0,-0.0,2.123552884391419,-0.0,-0.0,2.1109199598107886,-0.0,-0.0
car4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
txnrd3,1.542558017025798,-0.0,-0.0,1.5449248699359575,-0.0,-0.0,1.55241845138295,-0.0,-0.0,-0.0,3.966986429906805
fasl,0.6628234021558825,1.9501312396709898,1.9447901872518636,3.7393847683034904,-0.0,-0.0,-0.0,-0.0,0.6611999076534011,-0.0,1.9408992319595268
zfp512b,-0.0,-0.0,-0.0,4.290490317306373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.28148530045781
dnajc5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tpd52l2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fmr1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.0157931641361606
bcl11a,1.1351218104071705,2.0666030127694452,-0.0,0.48664981777773886,-0.0,-0.0,-0.0,0.12099823872404192,2.0597778635718327,-0.0,-0.0
il4,-0.0,5.881046381496377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.3963623192464927,-0.0,-0.0
pxmp4,-0.0,-0.0,-0.0,4.986144846517649,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlg3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.2947393754922283,-0.0,-0.0,-0.0
gnb1l,-0.0,-0.0,1.5397254083895655,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.966986429906805
dbh,-0.0,1.8866611671387,1.883415871870498,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mmp11,3.721410617061169,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
smarcb1,-0.0,-0.0,-0.0,3.3278277519494375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
vpreb3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.0157931641361606
hip1r,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4055506126836927,-0.0,3.6653610604069713
nsun5,3.721410617061169,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.723106251245357,-0.0,-0.0,3.715351798078831
top1mt,-0.0,1.9941931747516317,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hoxa10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hoxa4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mmp14,3.021691762252058,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.278998620442197
slc7a7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4094565081049426,-0.0
oxa1l,-0.0,1.4729185054766947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.810879531001891
heatr6,-0.0,1.8866611671387,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8882874922983472,4.731036809888373
ccl3,1.6997757890071497,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.316975926087922
wfdc18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
icam4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ilf2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
chtop,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
snapin,-0.0,2.7774276717814503,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.719136721036848
s100a4,-0.0,-0.0,-0.0,-0.0,4.300130840942653,-0.0,-0.0,-0.0,-0.0,-0.0,4.28148530045781
s100a3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9885043466519077
s100a5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
s100a6,-0.0,-0.0,-0.0,2.2498013456227537,-0.0,-0.0,-0.0,2.2487575678293323,-0.0,2.249148875762762,-0.0
scn4a,-0.0,2.399132278796365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.3932044791807736
icam2,1.542558017025798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5439774349213333,-0.0,-0.0,3.966986429906805
mapk7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.28148530045781
epn2,-0.0,-0.0,-0.0,1.098133786940135,-0.0,-0.0,-0.0,-0.0,-0.0,1.0976053795107759,-0.0
b9d1,-0.0,1.7891002785375065,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sec24b,1.1404055765436898,-0.0,-0.0,3.075930803377569,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
n4bp3,-0.0,-0.0,-0.0,3.0244444639420753,-0.0,-0.0,-0.0,3.023342681528893,3.0190820957428905,-0.0,-0.0
rmnd5b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.774581590566876,2.7791927513022094,6.719136721036848
nhp2,2.777156340130741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.774581590566876,-0.0,-0.0
vps9d1,-0.0,-0.0,-0.0,4.986144846517649,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
zfp276,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mfsd10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.331261024920241,-0.0,-0.0,-0.0
luzp1,-0.0,-0.0,-0.0,1.1425478405644791,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
slc13a2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
kctd10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.521008433772373,-0.0,-0.0
poldip2,6.731145319599585,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.774581590566876,-0.0,2.7713367623595784
ift20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.26257260134222
col6a1,-0.0,-0.0,-0.0,-0.0,-0.0,1.2993661074289031,-0.0,-0.0,-0.0,-0.0,-0.0
pcbp3,-0.0,-0.0,-0.0,0.4671309479159874,0.4720072730845837,-0.0,-0.0,-0.0,-0.0,1.460266213094308,-0.0
lgals9,-0.0,1.9941931747516317,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.658261241787852,-0.0,1.9885043466519077
araf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.7991343652153275,-0.0,-0.0,1.7907042404292794,-0.0
cfp,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.7331819843796104,-0.0,-0.0,-0.0,-0.0
timp1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
uxt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cnnm3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5747870358757883,-0.0,-0.0,-0.0
lman2l,-0.0,2.1136152137143145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mcm3ap,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.26257260134222
pcnt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ftcd,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mxd1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.24160677041324
gmcl1,-0.0,-0.0,-0.0,2.1159305356692775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
snrnp27,2.573180020057322,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
oas1c,-0.0,3.7216930761197133,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ocrl,-0.0,2.1136152137143145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
calm1,3.9779404782820236,-0.0,-0.0,-0.0,-0.0,-0.0,1.55241845138295,-0.0,-0.0,-0.0,1.5374887940457924
agpat3,-0.0,1.618234708432174,-0.0,-0.0,-0.0,-0.0,-0.0,1.619434404189096,-0.0,-0.0,4.135107513069482
slc26a3,-0.0,-0.0,-0.0,-0.0,-0.0,1.356149480746616,-0.0,-0.0,-0.0,3.5436186499457976,-0.0
sema6b,-0.0,5.246127035242401,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1109199598107886,2.1152869176663516,2.1078474857091174
uhrf1,-0.0,-0.0,-0.0,3.3278277519494375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dpp9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ramp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
lsr,-0.0,4.287911558255373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
